outcome,split,model,cv_auc_mean,cv_auc_std,cv_acc_mean,test_auc,test_acc,test_prec,test_rec,used_smote,auc_pass,auc_flag
Chronic_GVHD,80_20,xgb,0.5871122318588979,0.00251324966923088,0.7673870476864325,0.5100994367217034,0.6750572082379863,0.19569471624266144,0.2506265664160401,False,False,FAIL
Neutrophil_Engraftment,70_30,gbm,0.6096583282628948,0.006708919783247727,0.7602204422770374,0.5603599081271378,0.5469331765628062,0.7452471482889734,0.5441421432537479,True,False,FAIL
Neutrophil_Engraftment,70_30,rf,0.5983869132508857,0.005863771205150728,0.7336378275259343,0.5515995074170431,0.5929845189104448,0.7240669997061416,0.6840644086618545,True,False,FAIL
Neutrophil_Engraftment,70_30,svm,0.6022946782014275,0.008095132687596292,0.70920301690299,0.5450477027900333,0.6796002351557907,0.7164869029275809,0.9036646307606885,True,False,FAIL
Neutrophil_Engraftment,70_30,xgb,0.6058421393425616,0.0025814572956931255,0.7708935295085467,0.5544380740435491,0.47952184989222024,0.7466110531803962,0.39755691282620764,False,False,FAIL
Neutrophil_Engraftment,80_20,gbm,0.6010972345958482,0.005215270723054495,0.7476844929550501,0.5793849274790979,0.6485125858123569,0.7410334346504559,0.7809096732863549,True,False,FAIL
Neutrophil_Engraftment,80_20,rf,0.5940913201939227,0.0053420862715410486,0.7142295705603049,0.5524072340215839,0.5908466819221968,0.7380442541042113,0.6623959000640615,True,False,FAIL
Neutrophil_Engraftment,80_20,svm,0.6011571596551201,0.0036299909322171325,0.6962671634503951,0.5387335945071371,0.620137299771167,0.7303087586641462,0.7424727738629084,True,False,FAIL
Neutrophil_Engraftment,80_20,xgb,0.6068365264765222,0.0060783594157531986,0.7569463699023226,0.5766089291874045,0.6265446224256292,0.7392421323057161,0.7373478539397822,False,False,FAIL
Platelet_Engraftment,70_30,gbm,0.5108952761175207,0.0037555355218237612,0.6979926609369359,0.5444306470780857,0.39604154418969234,0.7565922920892495,0.20791527313266445,True,False,FAIL
Platelet_Engraftment,70_30,rf,0.5018805496813131,0.0032903670207941804,0.673961602880791,0.5293339367381554,0.4334705075445816,0.7279267495094833,0.3102006688963211,True,False,FAIL
Platelet_Engraftment,70_30,svm,0.516376490626263,0.007165917010129323,0.6342894150853532,0.5529535562251877,0.6556927297668038,0.7136522753792298,0.8522853957636566,True,False,FAIL
Platelet_Engraftment,70_30,xgb,0.5125882595571863,0.005821809528002294,0.7094714822795681,0.5268989775231704,0.43092298647854205,0.7301480484522207,0.302396878483835,False,False,FAIL
Platelet_Engraftment,80_20,gbm,0.5193696762030635,0.008328689063990907,0.6982876111088836,0.5488888386498767,0.5528604118993135,0.7472527472527473,0.5659411011523687,True,False,FAIL
Platelet_Engraftment,80_20,rf,0.5091387170927414,0.010821024177344478,0.668593387966462,0.5472508184962688,0.32128146453089246,0.7762237762237763,0.07106274007682459,True,False,FAIL
Platelet_Engraftment,80_20,svm,0.5170627639465484,0.002874226441492992,0.6252591345722416,0.5612089287512614,0.62837528604119,0.7320544554455446,0.7573623559539052,True,False,FAIL
Platelet_Engraftment,80_20,xgb,0.5251059581847711,0.003547960813811849,0.7053605390063377,0.5409505038402016,0.445766590389016,0.7623318385650224,0.3265044814340589,False,False,FAIL
